region,summary
1075,72.0
1076,139.0
1077,90.0
1125,68.0
1126,187.0
1127,258.0
1128,282.0
1129,323.0
1130,408.0
1131,143.0
1132,51.0
1172,6.0
1173,20.0
1174,24.0
1175,11.0
1176,18.0
1177,247.0
1178,396.0
1179,457.0
1180,524.0
1181,696.0
1182,400.0
1183,94.0
1184,20.0
1221,6.0
1222,9.0
1223,14.0
1224,25.0
1225,5.0
1227,149.0
1228,297.0
1229,407.0
1230,635.0
1231,661.0
1232,724.0
1233,507.0
1234,336.0
1235,148.0
1272,8.0
1273,10.0
1274,7.0
1278,13.0
1279,29.0
1280,178.0
1281,644.0
1282,854.0
1283,223.0
1284,90.0
1285,250.0
1286,206.0
1287,69.0
1326,21.0
1327,23.0
1331,46.0
1332,332.0
1333,471.0
1334,431.0
1335,90.0
1336,64.0
1337,72.0
1338,34.0
1339,10.0
1376,13.0
1377,9.0
1378,7.0
1380,8.0
1382,23.0
1383,231.0
1384,402.0
1385,218.0
1386,36.0
1387,28.0
1388,21.0
1389,13.0
1390,14.0
1426,6.0
1431,19.0
1434,11.0
1435,9.0
1436,29.0
1437,30.0
1438,11.0
1439,7.0
1441,5.0
1442,7.0
1480,11.0
1482,10.0
1483,11.0
1530,12.0
1532,7.0
1533,10.0
1580,5.0
1630,5.0
1684,19.0
1733,6.0
1734,214.0
1783,203.0
2068,96.0
2069,13.0
2118,143.0
2119,67.0
2168,39.0
